"","chla","diatom","phaeo","PowerLaw"
"All","0.96","34.61","13.16","0.0366 x chl-a ^0.725"
"All.1","[0.45 - 2.41]","[0.63 - 71.51]","[0 - 51.02]","R^2 = 0.78"
"DDS","2.28 * A","91.25 * A","0.08 * A","0.0269 x chl-a ^0.749"
"DDS.1","[0.96 - 3.9]","[66.06 - 99.87]","[0 - 9.94]","R^2 = 0.72"
"HPB","2.92 * AB","0 * B","81.24 * B","0.0349 x chl-a ^0.822"
"HPB.1","[2.2 - 4.16]","[0 - 46.31]","[25.39 - 93.83]","R^2 = 0.78"
"MPB","0.97 * AC","25.13 * B","46.67 * C","0.0396 x chl-a ^0.946"
"MPB.1","[0.83 - 1.65]","[0 - 44.89]","[21.89 - 56.5]","R^2 = 0.67"
"LCB","0.38 * D","33.37 * B","0 * A","0.0536 x chl-a ^0.958"
"LCB.1","[0.25 - 0.53]","[13.91 - 50.57]","[0 - 23.36]","R^2 = 0.7"
